rs_id;elapsed;imLx_insect;imLy_insect;disparity_insect;size_insect;score_insect;motion_sum_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;pos_valid_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;vel_valid_insect;svelX_insect;svelY_insect;svelZ_insect;acc_valid_insect;saccX_insect;saccY_insect;saccZ_insect;radius_insect;fp;hunt_id;light_level;
48518;539.854934;268;106;12.285;2;0;22;-1;-1;0;1;1;1;1.23544;-0.863948;-3.34868;1.23544;-0.863948;-3.34868;0;0;0;0;0;0;0;0;0.00772822;fp_not_a_fp;-1;0.207094;
48519;539.866061;268;106;12.285;2;0;22;268;106;1;0;1;1;1.23544;-0.863948;-3.34868;1.23544;-0.863948;-3.34868;1;-1.36643e-06;1.36643e-06;2.73287e-06;0;0;0;0;-1;fp_not_a_fp;-1;0.207052;
48520;539.877188;266;106;12.5308;2;0.153448;3;268;106;0;1;1;1;1.22636;-0.847163;-3.2829;1.23241;-0.858353;-3.32675;1;-0.104073;0.192414;0.754049;0;-9.35325;17.2928;67.7688;0.00757664;fp_not_a_fp;-1;0.207092;
48521;539.888315;266;106;12.4929;2;0.025;20;265.74;106;0;2;1;1;1.23008;-0.849728;-3.29284;1.23183;-0.856197;-3.31828;1;-0.0912419;0.217986;0.855545;0;-4.10005;9.79549;38.4453;0.00759959;fp_not_a_fp;-1;0.207077;
48522;539.899443;266;106;12.4929;2;0.025;20;265.666;106;1;0;1;1;1.22906;-0.847306;-3.28333;1.23024;-0.852036;-3.30194;1;-0.0859215;0.228512;0.897329;0;-2.57399;6.84564;26.8818;-1;fp_not_a_fp;-1;0.207107;
48523;539.910569;264;106;12.3056;2;0.117198;18;265.299;106;0;1;1;1;1.26423;-0.862828;-3.34287;1.23743;-0.851757;-3.30049;1;0.330426;0.025777;0.117616;0;7.42415;0.579115;2.64249;0.00771529;fp_not_a_fp;-1;0.207028;
48524;539.921696;266;106;12.4588;0;0.1125;2;263.461;106;0;2;1;1;1.23345;-0.852057;-3.30187;1.2392;-0.85298;-3.30523;1;0.107425;0.0621784;0.25047;1;4.752;-2.9262;-11.3147;0;fp_not_a_fp;-1;0.207055;
48525;539.932824;266;106;12.4588;0;0.1125;2;265.703;106;1;0;1;1;1.23493;-0.851547;-3.29978;1.24042;-0.853435;-3.30696;1;0.0186101;0.0751385;0.297322;1;2.4684;-3.20959;-12.5426;-1;fp_not_a_fp;-1;0.207035;
48526;539.943951;264;106;12.5042;2;0.129242;26;265.532;106;0;1;1;1;1.24415;-0.84912;-3.28976;1.24419;-0.853888;-3.30857;1;0.0851442;0.0987402;0.393627;1;3.84381;-2.91577;-11.3174;0.00759267;fp_not_a_fp;-1;0.207089;
48527;539.955077;264;106;12.7538;2;0.025;5;263.662;106;0;2;1;1;1.21981;-0.832507;-3.2254;1.23308;-0.846308;-3.2792;1;-0.177251;0.286336;1.12104;1;-11.4064;5.85433;22.5451;0.00744418;fp_not_a_fp;-1;0.207085;
48528;539.966205;262;106;12.7323;2.82843;0.0536797;23;263.655;106;0;3;1;1;1.23678;-0.83407;-3.23075;1.23392;-0.841811;-3.26142;1;-0.0685442;0.309427;1.21737;1;-3.9537;5.55521;21.7244;0.0105454;fp_not_a_fp;-1;0.207074;
48529;539.977332;264;106;12.8911;2;0.075;9;261.37;106;0;4;1;1;1.20681;-0.823637;-3.19103;1.22688;-0.834833;-3.23424;1;-0.358414;0.399098;1.55714;1;-8.47116;7.27877;28.3058;0.00736478;fp_not_a_fp;-1;0.207035;
