rs_id;elapsed;imLx_insect;imLy_insect;disparity_insect;size_insect;score_insect;motion_sum_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;pos_valid_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;vel_valid_insect;svelX_insect;svelY_insect;svelZ_insect;acc_valid_insect;saccX_insect;saccY_insect;saccZ_insect;radius_insect;fp;hunt_id;light_level;
140808;1566.952574;582;478;65.5355;10;0;934;-1;-1;0;1;1;1;-0.229864;-0.61253;-0.344777;-0.229864;-0.61253;-0.344777;0;0;0;0;0;0;0;0;0.00724349;fp_not_a_fp;-1;0.207819;
140809;1566.963702;582;476;66.0491;10.198;0.0303541;1643;582;478;1;0;1;1;-0.229864;-0.61253;-0.344777;-0.229864;-0.61253;-0.344777;1;3.41601e-07;6.83202e-07;0;0;0;0;0;-1;fp_not_a_fp;-1;0.207775;
140810;1566.974830;578;474;65.7061;12.8062;0.0669571;3628;582;478;0;1;1;1;-0.223418;-0.606102;-0.346914;-0.227715;-0.610387;-0.345489;1;0.073888;0.0736778;-0.0244977;0;6.63968;6.62077;-2.20141;0.00925211;fp_not_a_fp;-1;0.207808;
140811;1566.985959;570;472;65.6511;15.6205;0.0510147;4736;577.489;473.489;0;2;1;1;-0.212002;-0.604278;-0.348666;-0.223787;-0.60886;-0.346283;1;0.22584;0.115631;-0.0515797;0;10.1466;5.19524;-2.31742;0.0112947;fp_not_a_fp;-1;0.20786;
140812;1566.997087;570;468;66.2011;14.4222;0.0232854;4816;568.322;471.088;0;3;1;1;-0.210171;-0.594398;-0.348817;-0.218864;-0.604327;-0.347293;1;0.280814;0.231466;-0.0579171;0;8.41113;6.93327;-1.73478;0.0103416;fp_not_a_fp;-1;0.207739;
140813;1567.008215;562;466;65.564;18.4391;0.0612816;6996;568.036;466.514;0;4;1;1;-0.200594;-0.597839;-0.35367;-0.211546;-0.600654;-0.349517;1;0.377484;0.21037;-0.108776;0;8.48013;4.72601;-2.44369;0.0133505;fp_not_a_fp;-1;0.207743;
140814;1567.019344;560;462;65.7924;12.8062;0.0283871;4643;559.173;464.232;0;5;1;1;-0.196942;-0.590904;-0.355489;-0.204927;-0.596855;-0.351661;1;0.411142;0.254307;-0.136774;1;7.57627;4.05779;-2.52225;0.00923998;fp_not_a_fp;-1;0.207792;
140815;1567.030472;554;458;65.4734;15.6205;0.0371332;5441;556.585;459.61;0;6;1;1;-0.189132;-0.588958;-0.360246;-0.19921;-0.593025;-0.354555;1;0.46214;0.262335;-0.18542;1;5.30863;3.29571;-3.00679;0.0113254;fp_not_a_fp;-1;0.20768;
140816;1567.041600;548;456;65.4521;14.1421;0.0235495;4505;550.216;455.226;0;7;1;1;-0.180455;-0.586781;-0.361848;-0.191781;-0.59112;-0.357813;1;0.523714;0.257135;-0.20024;1;5.45688;0.576551;-3.19736;0.0102569;fp_not_a_fp;-1;0.207843;
140817;1567.052729;546;452;65.4907;14.1421;0.0262893;4698;543.69;453.198;0;8;1;1;-0.17738;-0.581553;-0.364696;-0.185977;-0.587049;-0.36057;1;0.517612;0.282114;-0.213466;1;3.14803;1.61163;-2.35185;0.0102508;fp_not_a_fp;-1;0.207824;
