rs_id;elapsed;imLx_insect;imLy_insect;disparity_insect;size_insect;score_insect;motion_sum_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;pos_valid_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;vel_valid_insect;svelX_insect;svelY_insect;svelZ_insect;acc_valid_insect;saccX_insect;saccY_insect;saccZ_insect;radius_insect;fp;hunt_id;light_level;
178897;1990.655942;224;242;19.6099;2;0;16;-1;-1;0;1;1;1;0.978775;-1.09471;-1.74929;0.978775;-1.09471;-1.74929;0;0;0;0;0;0;0;0;0.00484144;fp_not_a_fp;-1;0.207109;
178898;1990.667070;224;242;19.4249;0;0.075;3;224;242;0;2;1;1;0.988099;-1.10514;-1.76595;0.983437;-1.09993;-1.75762;1;0.106871;-0.11953;-0.191001;0;0;0;0;0;fp_not_a_fp;-1;0.206943;
178899;1990.678197;222;240;19.58;2;0.0946997;38;224;242;0;3;1;1;0.99008;-1.08826;-1.75705;0.985651;-1.09604;-1.75743;1;0.160114;0.0398365;-0.14346;0;4.78515;14.3229;4.27266;0.00484886;fp_not_a_fp;-1;0.206957;
178900;1990.689324;222;238;19.6214;2.82843;0.0589466;35;221.747;239.746;0;4;1;1;0.988104;-1.07776;-1.75847;0.986264;-1.09147;-1.75769;1;0.139049;0.220959;-0.121873;0;1.44601;15.3001;3.10635;0.00684289;fp_not_a_fp;-1;0.207095;
178901;1990.700453;222;238;19.4913;2;0.0416667;18;221.672;237.417;0;5;1;1;0.994696;-1.08495;-1.7702;0.990245;-1.08903;-1.76292;1;0.188167;0.185209;-0.231879;0;2.4353;9.12922;-1.2242;0.00487092;fp_not_a_fp;-1;0.207145;
178902;1990.711580;220;236;19.5498;2.82843;0.0952889;49;221.686;237.36;0;6;1;1;1.00155;-1.07357;-1.77001;0.993607;-1.08114;-1.76393;1;0.263015;0.277267;-0.245491;0;3.50814;8.91527;-1.22399;0.00686796;fp_not_a_fp;-1;0.207085;
178903;1990.722707;220;236;19.74;2.82843;0.0214466;29;219.476;235.16;0;7;1;1;0.991895;-1.06323;-1.75295;0.994061;-1.07488;-1.76291;1;0.149742;0.398561;-0.0242414;1;-0.233094;8.05973;2.67875;0.00680176;fp_not_a_fp;-1;0.207075;
178904;1990.733835;220;236;19.868;4;0;58;219.413;235.105;0;8;1;1;0.985506;-1.05638;-1.74166;0.993412;-1.06953;-1.7587;1;0.010603;0.476344;0.199699;1;-2.88563;5.7378;7.22466;0.0095572;fp_not_a_fp;-1;0.207095;
178905;1990.744962;218;234;19.7622;2.82843;0.0852498;25;219.488;235.271;0;9;1;1;1.0005;-1.05398;-1.75602;0.994863;-1.06179;-1.75516;1;0.123648;0.475177;0.102136;1;-1.44928;6.51472;7.50401;0.00679419;fp_not_a_fp;-1;0.20701;
178906;1990.756089;218;234;19.6684;2.82843;0.0214466;29;217.297;233.147;0;10;1;1;1.00528;-1.05901;-1.76439;0.995795;-1.05815;-1.75375;1;0.209302;0.356452;-0.0472306;1;-1.20647;1.77887;4.4539;0.00682653;fp_not_a_fp;-1;0.206984;
178907;1990.767217;216;234;19.5626;2;0.0933199;83;217.345;233.242;0;11;1;1;1.02041;-1.06483;-1.77387;1.00292;-1.05855;-1.75899;1;0.391535;0.195213;-0.211571;1;5.43241;-4.5686;-4.20899;0.00485316;fp_not_a_fp;-1;0.207071;
178908;1990.778344;216;232;19.5394;2.82843;0.0747426;45;215.165;233.38;0;12;1;1;1.02174;-1.05786;-1.78114;1.01198;-1.05892;-1.76886;1;0.432121;0.183584;-0.335783;1;9.47011;-6.57731;-12.0307;0.00687168;fp_not_a_fp;-1;0.206978;
178909;1990.789472;216;232;19.8534;2;0.0371007;90;215.199;231.232;0;13;1;1;1.00558;-1.04113;-1.75296;1.01325;-1.05571;-1.76809;1;0.208515;0.347169;-0.0213354;1;1.90646;-2.87574;-2.7739;0.00478216;fp_not_a_fp;-1;0.207115;
178910;1990.800600;214;232;19.8635;2;0.0886468;71;215.333;231.286;0;14;1;1;1.01463;-1.04069;-1.75201;1.01559;-1.05113;-1.765;1;0.193196;0.375502;0.122258;1;-0.362181;0.428274;3.80802;0.00477972;fp_not_a_fp;-1;0.207058;
178911;1990.811727;214;230;19.8048;2.82843;0.0651404;56;213.188;231.404;0;15;1;1;1.01775;-1.03565;-1.76229;1.01492;-1.04383;-1.7621;1;0.197995;0.397096;0.0481475;1;-4.3483;4.53573;5.83493;0.00677947;fp_not_a_fp;-1;0.207129;
178912;1990.822854;212;230;19.8001;4.47214;0.111332;117;213.267;229.241;0;16;1;1;1.02758;-1.03599;-1.76265;1.01638;-1.03836;-1.75748;1;0.287396;0.351492;0.00729179;1;-3.25156;3.77241;7.7078;0.0107219;fp_not_a_fp;-1;0.207185;
178913;1990.833982;210;230;20.1217;2.82843;0.0435637;39;211.103;229.303;0;17;1;1;1.02059;-1.01952;-1.73442;1.02013;-1.03296;-1.75284;1;0.207609;0.476522;0.313023;1;-0.0201941;2.90594;7.51136;0.00667271;fp_not_a_fp;-1;0.207023;
178914;1990.845109;210;228;20.0377;2.82843;0.0624232;75;208.843;229.408;0;18;1;1;1.02498;-1.01576;-1.74671;1.02272;-1.02673;-1.75152;1;0.198426;0.510537;0.258544;1;0.117655;3.03365;3.06137;0.00670079;fp_not_a_fp;-1;0.20696;
178915;1990.856236;208;230;19.9871;2;0.133861;106;208.928;227.241;0;19;1;1;1.03696;-1.02649;-1.74605;1.02753;-1.02444;-1.74746;1;0.30675;0.336558;0.2107;1;2.44365;-1.36044;3.6515;0.00475015;fp_not_a_fp;-1;0.207088;
178916;1990.867364;208;228;20.1574;2.82843;0.0754785;93;206.809;229.596;0;20;1;1;1.02831;-1.00982;-1.73628;1.02771;-1.0179;-1.74087;1;0.213171;0.412714;0.275967;1;-1.66726;1.37505;6.03568;0.00666085;fp_not_a_fp;-1;0.206978;
178917;1990.878492;204;228;20.0895;4.47214;0.163116;100;206.935;227.496;0;21;1;1;1.05069;-1.01343;-1.74204;1.03523;-1.01637;-1.74277;1;0.403871;0.35025;0.201724;1;4.40973;-2.83723;-2.50077;0.0105675;fp_not_a_fp;-1;0.207084;
178918;1990.889619;204;228;20.3231;2.82843;0.00349541;48;202.583;227.525;0;22;1;1;1.03861;-1.00178;-1.72202;1.03864;-1.01288;-1.7366;1;0.292721;0.413294;0.374852;1;2.11875;-2.18499;2.61309;0.00660661;fp_not_a_fp;-1;0.207008;
178919;1990.900747;204;226;20.3679;2.82843;0.0704172;88;202.602;227.623;0;23;1;1;1.03643;-0.991667;-1.72317;1.03851;-1.00417;-1.73088;1;0.184469;0.502504;0.385391;1;-2.74701;3.72807;3.92479;0.00659212;fp_not_a_fp;-1;0.207056;
178920;1990.911874;202;228;20.4006;4.47214;0.141284;76;202.825;225.387;0;24;1;1;1.04397;-0.99806;-1.71542;1.04243;-1.00123;-1.72566;1;0.202622;0.401992;0.429466;1;-0.23685;-0.241045;3.44878;0.0104062;fp_not_a_fp;-1;0.207105;
178921;1990.923001;202;228;20.3922;4;0.0262928;70;200.774;227.697;0;25;1;1;1.0444;-0.998473;-1.71613;1.04085;-0.997494;-1.71918;1;0.189233;0.304444;0.384764;1;-4.8222;-1.02932;4.11249;0.00931153;fp_not_a_fp;-1;0.206943;
178922;1990.934129;200;228;20.4576;4.47214;0.0678602;66;200.978;227.861;0;26;1;1;1.05034;-0.995371;-1.71058;1.04379;-0.995893;-1.71632;1;0.227651;0.260863;0.380788;1;-1.46183;-3.42486;0.133327;0.0103773;fp_not_a_fp;-1;0.207043;
178923;1990.945256;198;228;20.1056;2;0.0911232;97;198.898;227.946;0;27;1;1;1.07818;-1.01289;-1.74047;1.05422;-1.0012;-1.72065;1;0.533546;0.00874595;-0.0120704;1;7.84292;-11.0935;-8.93013;0.00472214;fp_not_a_fp;-1;0.207015;
178924;1990.956383;198;226;20.3784;2.82843;0.0863982;74;196.744;228.02;0;28;1;1;1.06385;-0.991433;-1.72211;1.05919;-0.999542;-1.72232;1;0.427706;0.149403;0.0375308;1;5.05711;-5.6751;-8.80597;0.00658866;fp_not_a_fp;-1;0.207054;
178925;1990.967511;196;228;20.5094;4.47214;0.119816;115;196.848;225.729;0;29;1;1;1.06621;-0.993038;-1.70614;1.06464;-0.998183;-1.71983;1;0.356388;0.17008;0.236287;1;3.75571;-3.01888;-3.33637;0.0103511;fp_not_a_fp;-1;0.207036;
178926;1990.978639;196;228;20.6068;2;0.068848;115;194.748;227.93;0;30;1;1;1.06117;-0.988344;-1.69808;1.06735;-0.996426;-1.7167;1;0.223688;0.210736;0.38073;1;-0.0887996;-1.12637;-0.00177538;0.00460727;fp_not_a_fp;-1;0.207012;
178927;1990.989766;194;228;20.792;2.82843;0.053548;31;194.897;228.023;0;31;1;1;1.06085;-0.979631;-1.6829;1.06302;-0.988112;-1.70231;1;0.136659;0.300531;0.565863;1;-8.91692;6.55561;12.9844;0.00645764;fp_not_a_fp;-1;0.20715;
178928;1991.000894;192;228;20.9828;2.82843;0.044806;147;192.828;228.059;0;32;1;1;1.06025;-0.97081;-1.66754;1.06212;-0.982956;-1.68867;1;0.0763821;0.400418;0.746279;1;-7.89311;5.63941;15.9231;0.00639893;fp_not_a_fp;-1;0.207006;
178929;1991.012021;192;228;20.9633;2.82843;0.0182164;93;190.647;228.1;0;33;1;1;1.06124;-0.971716;-1.66909;1.06087;-0.977625;-1.6794;1;0.0530711;0.380238;0.707812;1;-6.81463;4.72151;10.5936;0.00640483;fp_not_a_fp;-1;0.206993;
178930;1991.023149;190;228;21.1087;4.47214;0.064059;89;190.788;228.071;0;34;1;1;1.06292;-0.965112;-1.65754;1.06131;-0.971817;-1.66927;1;0.055989;0.399106;0.734046;1;-3.76763;4.23197;7.93773;0.0100572;fp_not_a_fp;-1;0.207197;
178931;1991.034276;190;228;21.1937;4.47214;0.0387057;171;188.695;228.05;0;35;1;1;1.05866;-0.961239;-1.65089;1.06077;-0.967219;-1.66127;1;0.00115525;0.400394;0.727508;1;-3.04432;2.24346;3.63138;0.0100169;fp_not_a_fp;-1;0.206966;
178932;1991.045404;188;228;21.2821;2.82843;0.0466346;60;188.86;228.035;0;36;1;1;1.06318;-0.957336;-1.64398;1.0615;-0.96385;-1.65538;1;0.0302392;0.394583;0.711182;1;-1.03679;-0.13107;-0.788513;0.00630892;fp_not_a_fp;-1;0.207072;
178933;1991.056531;186;230;21.4308;4.47214;0.111502;145;186.808;228.025;0;37;1;1;1.06456;-0.958291;-1.62782;1.06233;-0.960494;-1.64506;1;0.0542132;0.330909;0.798981;1;0.0255767;-1.10827;2.04836;0.00990606;fp_not_a_fp;-1;0.207046;
178934;1991.067658;186;230;21.4424;2.82843;0.0230539;202;184.638;230.315;0;38;1;1;1.06399;-0.957773;-1.62694;1.0626;-0.95866;-1.63741;1;0.0506125;0.268323;0.743435;1;-0.120879;-2.93834;0.210986;0.00626177;fp_not_a_fp;-1;0.207114;
178935;1991.078786;184;230;21.5335;4.47214;0.0608067;78;184.782;230.391;0;39;1;1;1.0683;-0.953807;-1.62;1.06501;-0.956802;-1.62969;1;0.0921316;0.253691;0.705181;1;2.04387;-3.29598;-0.501521;0.00985879;fp_not_a_fp;-1;0.206969;
178936;1991.089914;182;230;21.7758;2.82843;0.0465663;193;182.697;230.374;0;40;1;1;1.06513;-0.943277;-1.60192;1.0655;-0.953287;-1.61917;1;0.0611878;0.335994;0.806723;1;0.695271;-1.31637;2.14658;0.00616586;fp_not_a_fp;-1;0.206944;
178937;1991.101041;182;230;21.6562;2.82843;0.0260314;108;180.555;230.322;0;41;1;1;1.07102;-0.948488;-1.61077;1.06711;-0.950836;-1.61491;1;0.108047;0.267414;0.644343;1;1.20943;-1.42658;-3.47429;0.00619989;fp_not_a_fp;-1;0.207085;
178938;1991.112169;180;232;21.9845;4.47214;0.0900063;147;180.732;230.223;0;42;1;1;1.06356;-0.941731;-1.58208;1.067;-0.946826;-1.60369;1;0.0281582;0.282415;0.823862;1;-0.504401;0.316568;1.80665;0.00965654;fp_not_a_fp;-1;0.206966;
178939;1991.123296;180;232;21.9494;2;0.0730177;200;178.647;232.456;0;43;1;1;1.06526;-0.943236;-1.58461;1.06624;-0.944183;-1.59485;1;0.0110362;0.235338;0.763983;1;-1.82183;-0.412421;1.32072;0.00432544;fp_not_a_fp;-1;0.207104;
178940;1991.134423;178;232;22.0146;2.82843;0.0590418;63;178.832;232.488;0;44;1;1;1.07073;-0.94053;-1.57987;1.06764;-0.943496;-1.58933;1;0.0652869;0.216889;0.696146;1;0.0922744;-2.67602;-2.48476;0.00609898;fp_not_a_fp;-1;0.206987;
178941;1991.145552;176;232;22.3045;2.82843;0.0508711;203;176.791;232.44;0;45;1;1;1.06532;-0.928386;-1.55928;1.06622;-0.93847;-1.57646;1;0.0173993;0.320791;0.815335;1;-2.03634;1.199;3.84114;0.0060197;fp_not_a_fp;-1;0.207003;
178942;1991.156679;176;232;22.2561;2.82843;0.0169055;180;174.619;232.369;0;46;1;1;1.06764;-0.930406;-1.56267;1.06724;-0.935639;-1.57161;1;0.0219625;0.299657;0.721702;1;-0.139083;0.387188;-2.29552;0.00603281;fp_not_a_fp;-1;0.207066;
178943;1991.167806;174;234;22.51;4;0.0848732;117;174.772;232.256;0;47;1;1;1.06394;-0.927143;-1.54052;1.06691;-0.931616;-1.56058;1;-0.0214486;0.2901;0.844903;1;-0.729712;1.23015;1.81775;0.00843546;fp_not_a_fp;-1;0.207019;
178944;1991.178935;174;234;22.4759;4.47214;0.041777;243;172.679;234.479;0;48;1;1;1.06555;-0.928552;-1.54286;1.06561;-0.928622;-1.55133;1;-0.0181292;0.233004;0.761228;1;-1.87404;0.361988;1.46209;0.00944547;fp_not_a_fp;-1;0.207055;
178945;1991.190062;172;234;22.4911;2.82843;0.049664;108;172.854;234.503;0;49;1;1;1.07328;-0.928009;-1.54177;1.0676;-0.928527;-1.54695;1;0.0740995;0.185908;0.642058;1;1.27392;-3.03036;-3.89298;0.00596987;fp_not_a_fp;-1;0.206999;
178946;1991.201189;170;234;22.6906;2.82843;0.0424038;160;170.81;234.449;0;50;1;1;1.07221;-0.919932;-1.52816;1.06874;-0.925909;-1.53832;1;0.090511;0.23532;0.666891;1;1.54012;-1.44538;-1.23135;0.00591729;fp_not_a_fp;-1;0.207112;
178947;1991.212317;172;234;22.7306;4.47214;0.100799;280;168.641;234.373;0;51;1;1;1.06196;-0.918228;-1.52551;1.06825;-0.92368;-1.53457;1;-0.0316653;0.245258;0.622391;1;-0.229314;-1.00738;-4.99903;0.0093396;fp_not_a_fp;-1;0.207081;
178948;1991.223444;170;236;22.7673;4;0.0804256;142;171.079;234.26;0;52;1;1;1.0685;-0.923902;-1.51859;1.06899;-0.922518;-1.52851;1;-0.00321593;0.153036;0.604043;1;0.335312;-1.79674;-3.53147;0.00834008;fp_not_a_fp;-1;0.207064;
178949;1991.234571;168;236;22.9972;2.82843;0.0535851;288;169.08;236.475;0;53;1;1;1.06607;-0.914745;-1.50335;1.06718;-0.919202;-1.5189;1;-0.0188826;0.200376;0.694061;1;-2.08882;0.324996;1.16844;0.00583843;fp_not_a_fp;-1;0.20703;
178950;1991.245700;168;236;23.1314;2.82843;0.0226312;224;166.928;236.505;0;54;1;1;1.05989;-0.90944;-1.49463;1.0641;-0.916579;-1.51052;1;-0.0938141;0.255187;0.742666;1;-4.14088;0.446178;1.70242;0.00580451;fp_not_a_fp;-1;0.207023;
178951;1991.256827;166;236;23.2514;4.47214;0.06774;200;167.036;236.454;0;55;1;1;1.06258;-0.904825;-1.48686;1.06426;-0.913228;-1.50086;1;-0.0819305;0.298189;0.757049;1;-1.12913;1.18904;3.02529;0.00913032;fp_not_a_fp;-1;0.206966;
178952;1991.267954;166;236;23.322;4.47214;0.028534;335;164.871;236.375;0;56;1;1;1.05936;-0.902086;-1.48236;1.06198;-0.907774;-1.4918;1;-0.103438;0.309321;0.718021;1;-2.25156;3.51118;2.56069;0.00910272;fp_not_a_fp;-1;0.207034;
