rs_id;elapsed;imLx_insect;imLy_insect;disparity_insect;size_insect;score_insect;motion_sum_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;pos_valid_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;vel_valid_insect;svelX_insect;svelY_insect;svelZ_insect;acc_valid_insect;saccX_insect;saccY_insect;saccZ_insect;radius_insect;fp;hunt_id;light_level;
61234;681.348920;588;104;12.1563;2;0;16;-1;-1;0;1;1;1;-1.25003;-0.835573;-3.40865;-1.25003;-0.835573;-3.40865;0;0;0;0;0;0;0;0;0.00780997;fp_not_a_fp;-1;0.207138;
61235;681.360046;590;104;12.4065;2;0.075;5;588;104;0;2;1;1;-1.24013;-0.818558;-3.34001;-1.24508;-0.827065;-3.37433;1;0.113533;0.195044;0.786783;0;0;0;0;0.00765254;fp_not_a_fp;-1;0.207197;
61236;681.371174;590;102;12.4724;2.82843;0.0536797;14;590.261;104;0;3;1;1;-1.23337;-0.801351;-3.33046;-1.24118;-0.818494;-3.35971;1;0.223396;0.448005;1.12106;0;9.8729;22.7326;30.0402;0.010765;fp_not_a_fp;-1;0.207146;
61237;681.382301;592;102;12.5458;2;0.075;4;590.337;101.736;0;4;1;1;-1.24129;-0.796502;-3.31109;-1.24121;-0.812996;-3.34755;1;0.149504;0.55099;1.33833;0;1.61594;15.9942;24.7834;0.00756754;fp_not_a_fp;-1;0.20716;
61238;681.393428;592;100;12.5102;2.82843;0.0981496;17;592.593;101.661;0;5;1;1;-1.24463;-0.785933;-3.32861;-1.23986;-0.800586;-3.32754;1;0.0615959;0.644433;1.05654;0;-1.55619;13.4621;8.08073;0.0107326;fp_not_a_fp;-1;0.207202;
61239;681.404555;592;100;12.5102;2.82843;0.0981496;17;592.617;99.4102;1;0;1;1;-1.24395;-0.778772;-3.31687;-1.24081;-0.79064;-3.32176;1;0.0252558;0.682926;0.939883;0;-1.98358;10.9614;3.43973;-1;fp_not_a_fp;-1;0.207172;
61240;681.415682;594;98;12.5163;2.82843;0.0609902;18;593.25;98.7154;0;1;1;1;-1.259;-0.772554;-3.33517;-1.24722;-0.78344;-3.32293;1;-0.165526;0.683012;0.561979;1;-8.73835;5.28014;-12.5612;0.0107274;fp_not_a_fp;-1;0.207155;
61241;681.426809;594;98;12.5163;2.82843;0.0609902;18;594.781;97.1032;1;0;1;1;-1.26138;-0.764639;-3.3297;-1.25224;-0.775474;-3.32759;1;-0.250521;0.686662;0.396812;1;-8.98781;3.04819;-21.1539;-1;fp_not_a_fp;-1;0.207196;
61242;681.437937;596;98;12.4285;2;0.148469;18;595.588;96.1414;0;1;1;1;-1.28317;-0.777848;-3.35884;-1.26188;-0.773453;-3.33515;1;-0.503511;0.449169;-0.0560563;1;-12.6965;-4.38687;-24.9971;0.00763895;fp_not_a_fp;-1;0.20716;
61243;681.449063;598;96;12.5682;2.82843;0.0743903;4;596.879;97.3058;0;2;1;1;-1.28383;-0.756264;-3.32968;-1.27185;-0.767826;-3.33835;1;-0.551354;0.541166;0.0982779;1;-12.955;-3.1846;-18.9085;0.0106831;fp_not_a_fp;-1;0.207197;
61244;681.460190;598;96;12.5781;2;0.025;22;599.088;95.2144;0;3;1;1;-1.28282;-0.755669;-3.32705;-1.2778;-0.763605;-3.33632;1;-0.48921;0.516987;0.179588;1;-7.27218;-3.7298;-8.59076;0.00754811;fp_not_a_fp;-1;0.207192;
61245;681.471318;598;96;12.5781;2;0.025;22;599.011;95.302;1;0;1;1;-1.2887;-0.750154;-3.32559;-1.28463;-0.759984;-3.33529;1;-0.468582;0.504259;0.207077;1;-4.89904;-4.09777;-4.26215;-1;fp_not_a_fp;-1;0.207167;
61246;681.482445;600;94;12.6935;2.82843;0.0405684;18;599.995;94.642;0;1;1;1;-1.28593;-0.735987;-3.30489;-1.28532;-0.749519;-3.3218;1;-0.368449;0.597081;0.42928;1;3.03451;3.32337;10.9046;0.0105776;fp_not_a_fp;-1;0.207191;
61247;681.493571;602;94;12.5245;0;0.1125;6;600.98;93.2304;0;2;1;1;-1.31844;-0.745754;-3.34959;-1.29397;-0.746891;-3.32678;1;-0.652746;0.447316;-0.0459881;1;-2.2782;-2.10867;-3.24158;0;fp_not_a_fp;-1;0.20721;
61248;681.504699;602;92;12.7082;2;0.080452;20;603.091;93.3298;0;3;1;1;-1.29918;-0.722335;-3.30913;-1.29806;-0.738558;-3.3223;1;-0.466306;0.596811;0.22722;1;0.514158;1.79321;1.06953;0.00747085;fp_not_a_fp;-1;0.207151;
61249;681.515826;602;92;12.7326;2;0.0127078;4;603.018;91.1521;0;4;1;1;-1.29669;-0.72095;-3.30278;-1.30006;-0.731257;-3.3166;1;-0.30122;0.598347;0.383891;1;3.76002;2.11367;3.97215;0.00745655;fp_not_a_fp;-1;0.207162;
61250;681.526952;602;90;13.0226;2.82843;0.113548;20;602.836;91.2011;0;5;1;1;-1.26763;-0.692565;-3.23702;-1.29549;-0.720401;-3.29963;1;0.138528;0.848054;1.15355;1;11.3907;5.63865;16.2728;0.0103103;fp_not_a_fp;-1;0.207144;
61251;681.538080;604;90;12.6003;0;0.175181;4;602.654;89.0293;0;6;1;1;-1.32519;-0.715615;-3.34561;-1.29718;-0.712866;-3.29863;1;-0.357112;0.57887;0.0797526;1;6.64334;2.95616;2.82732;0;fp_not_a_fp;-1;0.20719;
61252;681.549207;604;88;13.0568;2.82843;0.124376;21;604.727;89.1249;0;7;1;1;-1.27867;-0.678294;-3.23639;-1.29205;-0.701856;-3.28045;1;0.0168686;0.82161;0.877843;1;10.8572;5.05139;14.6207;0.0102833;fp_not_a_fp;-1;0.207168;
61253;681.560334;606;88;12.7393;0;0.160336;4;604.695;86.969;0;8;1;1;-1.32545;-0.695041;-3.31716;-1.29924;-0.695379;-3.28404;1;-0.366928;0.625157;0.169819;1;-1.47515;0.60301;-4.80729;0;fp_not_a_fp;-1;0.207216;
61254;681.571461;606;86;12.9452;2;0.0973983;11;606.856;87.0775;0;9;1;1;-1.30418;-0.67158;-3.27222;-1.30837;-0.690133;-3.29285;1;-0.234941;0.73316;0.370664;1;-8.39018;-2.58094;-17.5879;0.00733405;fp_not_a_fp;-1;0.20716;
61255;681.582589;606;86;12.7778;2.82843;0.0658873;11;606.83;84.957;0;10;1;1;-1.32126;-0.680375;-3.31508;-1.30739;-0.681323;-3.28521;1;-0.346203;0.583468;-0.0848129;1;0.245251;0.10353;-3.69666;0.0105078;fp_not_a_fp;-1;0.207203;
61256;681.593716;606;84;12.9362;2.82843;0.125293;21;606.667;85.0596;0;11;1;1;-1.3049;-0.659631;-3.28232;-1.31394;-0.676657;-3.2967;1;-0.160457;0.684984;0.113281;1;-3.98388;-3.0694;-17.1772;0.0103791;fp_not_a_fp;-1;0.207182;
61257;681.604843;608;84;13.0125;2.82843;0.148244;15;606.525;82.9499;0;12;1;1;-1.31184;-0.655608;-3.26318;-1.31054;-0.666799;-3.2832;1;-0.142807;0.685683;0.400111;1;5.03576;1.36018;5.17506;0.0103183;fp_not_a_fp;-1;0.207156;
61258;681.615971;608;84;13.0221;2;0.000885202;24;608.659;83.0357;0;13;1;1;-1.31087;-0.655124;-3.26077;-1.31221;-0.662685;-3.28034;1;-0.106192;0.604064;0.495242;1;2.89297;-2.90001;2.79981;0.00729071;fp_not_a_fp;-1;0.207184;
61259;681.627098;608;82;13.0074;2.82843;0.111079;13;608.628;83.2297;0;14;1;1;-1.31217;-0.643519;-3.27225;-1.30994;-0.65347;-3.26963;1;-0.0924045;0.626313;0.339803;1;5.70233;0.962854;9.54013;0.0103223;fp_not_a_fp;-1;0.207159;
61260;681.638225;610;82;12.9772;2;0.0891699;16;608.535;81.1169;0;15;1;1;-1.32985;-0.644858;-3.27996;-1.31618;-0.649777;-3.26904;1;-0.277607;0.540271;0.143874;1;-2.6321;-3.25121;0.687268;0.00731593;fp_not_a_fp;-1;0.207165;
61261;681.649353;610;80;13.0368;2.82843;0.112768;11;610.716;81.2201;0;16;1;1;-1.32359;-0.629591;-3.27273;-1.31912;-0.643273;-3.27143;1;-0.246934;0.610789;0.127364;1;-2.33955;-1.68265;-6.12811;0.0102991;fp_not_a_fp;-1;0.207163;
61262;681.660480;612;80;13.1891;2.82843;0.104948;12;610.669;79.0685;0;17;1;1;-1.3227;-0.622167;-3.23504;-1.32208;-0.635034;-3.26499;1;-0.192594;0.64713;0.53636;1;-1.94125;0.96751;0.923943;0.0101801;fp_not_a_fp;-1;0.207172;
61263;681.671607;612;80;13.3994;2;0.0172825;9;612.864;79.1159;0;18;1;1;-1.30194;-0.612401;-3.18426;-1.31952;-0.627255;-3.243;1;0.092428;0.691555;1.21907;1;4.15296;1.46577;19.7556;0.00708542;fp_not_a_fp;-1;0.207167;
61264;681.682735;614;78;13.2615;2.82843;0.101474;14;612.845;79.2723;0;19;1;1;-1.32962;-0.606508;-3.22512;-1.31946;-0.617667;-3.22929;1;-0.118837;0.689255;0.877371;1;3.56771;3.34724;16.4811;0.0101245;fp_not_a_fp;-1;0.207173;
61265;681.693862;616;78;13.2206;0;0.175108;11;614.978;77.1464;0;20;1;1;-1.34809;-0.60823;-3.2352;-1.32559;-0.612327;-3.2199;1;-0.402765;0.580647;0.508763;1;-3.50067;-0.677203;8.57022;0;fp_not_a_fp;-1;0.207151;
61266;681.704989;616;76;13.2543;2.82843;0.11826;18;617.197;77.2406;0;21;1;1;-1.34448;-0.594566;-3.2346;-1.33103;-0.605427;-3.2198;1;-0.427314;0.618339;0.298337;1;-5.27312;-0.646872;-5.34677;0.0101301;fp_not_a_fp;-1;0.207125;
61267;681.716117;618;76;13.2901;2;0.0797527;12;617.101;75.0829;0;22;1;1;-1.35514;-0.592811;-3.22599;-1.34433;-0.600529;-3.23023;1;-0.505203;0.57516;0.272067;1;-13.4269;-2.61508;-21.2763;0.00714372;fp_not_a_fp;-1;0.207216;
61268;681.727244;618;74;13.3703;2.82843;0.113527;18;619.212;75.1367;0;23;1;1;-1.34683;-0.577241;-3.2142;-1.34863;-0.593212;-3.2275;1;-0.377635;0.662434;0.361659;1;-5.8145;-0.602536;-11.5868;0.0100422;fp_not_a_fp;-1;0.20718;
61269;681.738371;620;74;13.4314;2.82843;0.0919785;12;619.076;73.0049;0;24;1;1;-1.35485;-0.574467;-3.19969;-1.35032;-0.584771;-3.21862;1;-0.368662;0.645806;0.518827;1;0.766397;1.46406;0.226267;0.0099965;fp_not_a_fp;-1;0.207185;
61270;681.749499;622;72;13.4874;2;0.0841374;29;621.145;73.076;0;25;1;1;-1.36312;-0.560024;-3.19402;-1.35498;-0.576136;-3.20847;1;-0.412776;0.722112;0.58268;1;0.326872;2.33153;6.38855;0.00703928;fp_not_a_fp;-1;0.207206;
