rs_id;elapsed;imLx_insect;imLy_insect;disparity_insect;size_insect;score_insect;motion_sum_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;pos_valid_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;vel_valid_insect;svelX_insect;svelY_insect;svelZ_insect;acc_valid_insect;saccX_insect;saccY_insect;saccZ_insect;radius_insect;fp;hunt_id;light_level;
259720;2889.852480;726;0;14.5001;2;0;21;-1;-1;0;1;1;1;-1.94283;-0.114878;-3.22701;-1.94283;-0.114878;-3.22701;0;0;0;0;0;0;0;0;0.00654762;fp_not_a_fp;-1;0.206968;
259721;2889.863607;726;0;14.5001;2;0;21;726;-1.15301e-05;1;0;1;1;-1.94283;-0.114878;-3.22701;-1.94283;-0.114878;-3.22701;1;-4.09956e-06;0;0;0;0;0;0;-1;fp_not_a_fp;-1;0.206951;
259722;2889.874735;730;2;14.4469;2;0.253276;9;726;-1.15301e-05;0;1;1;1;-1.97643;-0.126135;-3.23204;-1.95403;-0.118631;-3.22869;1;-0.385095;-0.129023;-0.057732;0;-34.605;-11.5942;-5.18791;0.0065717;fp_not_a_fp;-1;0.206956;
259723;2889.885862;730;2;14.3922;2;0.025;23;730.507;2.25363;0;2;1;1;-1.98395;-0.126615;-3.24434;-1.96151;-0.120627;-3.2326;1;-0.581311;-0.171388;-0.215175;0;-26.1194;-7.70078;-9.66862;0.00659674;fp_not_a_fp;-1;0.206994;
259724;2889.896989;734;2;14.6754;2;0.125;6;730.649;2.3247;0;3;1;1;-1.97153;-0.123893;-3.1819;-1.96869;-0.12288;-3.22132;1;-0.445951;-0.135838;0.462968;0;-13.3579;-4.06886;13.8699;0.00646935;fp_not_a_fp;-1;0.20696;
259725;2889.908117;736;4;14.5264;2;0.0957107;13;735.155;2.32004;0;4;1;1;-2.005;-0.13608;-3.20766;-1.98423;-0.128181;-3.21649;1;-0.716696;-0.243499;0.388885;0;-16.1008;-5.47031;8.73814;0.0065357;fp_not_a_fp;-1;0.206989;
259726;2889.919244;736;4;14.4717;2;0.025;27;737.456;4.52792;0;5;1;1;-2.01257;-0.136594;-3.21977;-1.99326;-0.130795;-3.21342;1;-0.823941;-0.262824;0.169844;1;-9.85914;-3.00595;5.11373;0.00656038;fp_not_a_fp;-1;0.206943;
259727;2889.930372;738;4;14.5377;2.82843;0.0394866;4;737.504;4.58071;0;6;1;1;-2.0165;-0.135834;-3.20526;-2.0014;-0.1331;-3.20365;1;-0.808221;-0.228575;0.224083;1;-5.09746;-1.28461;9.86968;0.00923577;fp_not_a_fp;-1;0.206949;
259728;2889.941500;740;6;14.686;2;0.096295;7;739.553;4.50492;0;7;1;1;-2.00923;-0.145258;-3.16608;-2.01082;-0.138441;-3.19969;1;-0.615305;-0.293292;0.666943;1;-3.80484;-3.53727;4.58195;0.00646476;fp_not_a_fp;-1;0.206967;
259729;2889.952627;742;6;14.8975;4.47214;0.0622298;23;741.613;6.70242;0;8;1;1;-1.99345;-0.143059;-3.12122;-2.00794;-0.140186;-3.17808;1;-0.27621;-0.257421;1.27915;1;9.8963;-0.31266;20.0013;0.0142502;fp_not_a_fp;-1;0.206941;
259730;2889.963754;744;8;15.0876;0;0.118408;3;743.712;6.67141;0;9;1;1;-1.98108;-0.151766;-3.07526;-2.00006;-0.143979;-3.14195;1;0.040982;-0.309567;1.89577;1;19.4324;-1.05005;38.7764;0;fp_not_a_fp;-1;0.206985;
259731;2889.974882;744;8;15.0789;2;0.025;3;745.848;8.87876;0;10;1;1;-1.98222;-0.151854;-3.07704;-1.99149;-0.147984;-3.1099;1;0.153754;-0.292633;1.88847;1;21.6126;-1.43912;37.394;0.00629619;fp_not_a_fp;-1;0.20695;
259732;2889.986009;744;8;14.8092;4.47214;0.0886857;38;745.619;8.8437;0;11;1;1;-2.01832;-0.154619;-3.13308;-1.99376;-0.150325;-3.10165;1;-0.233098;-0.280012;1.00216;1;8.58677;0.298373;7.53098;0.0143352;fp_not_a_fp;-1;0.206963;
259733;2889.997136;746;8;15.1009;2.82843;0.0629109;7;745.257;8.67349;0;12;1;1;-1.9919;-0.151497;-3.07263;-1.99338;-0.152434;-3.0895;1;-0.0603775;-0.203292;1.20095;1;4.84861;1.21613;-1.75788;0.00889123;fp_not_a_fp;-1;0.206984;
259734;2890.008263;748;10;15.0704;0;0.176516;5;747.243;8.53506;0;13;1;1;-2.00869;-0.162325;-3.07222;-2.00028;-0.155074;-3.08874;1;-0.173762;-0.269774;1.13469;1;-4.82532;0.894021;-17.1003;0;fp_not_a_fp;-1;0.206954;
259735;2890.019391;748;10;14.7464;4.47214;0.0821428;42;749.323;10.664;0;14;1;1;-2.05282;-0.165891;-3.13972;-2.01793;-0.158583;-3.10441;1;-0.70434;-0.303719;0.188844;1;-19.2787;-0.249015;-38.1857;0.0143962;fp_not_a_fp;-1;0.206991;
259736;2890.030519;750;10;14.8972;2;0.0710633;6;749.156;10.6143;0;15;1;1;-2.04479;-0.164075;-3.10802;-2.02455;-0.160947;-3.09815;1;-0.741641;-0.258188;0.137238;1;-11.4249;0.490375;-19.4312;0.00637308;fp_not_a_fp;-1;0.206964;
259737;2890.041646;750;12;14.193;2;0.113327;3;751.25;10.5284;0;16;1;1;-2.14641;-0.183531;-3.25509;-2.06318;-0.168956;-3.14376;1;-1.8274;-0.429466;-1.58752;1;-39.7003;-5.08159;-62.6491;0.00668925;fp_not_a_fp;-1;0.206995;
