rs_id;elapsed;imLx_insect;imLy_insect;disparity_insect;size_insect;score_insect;motion_sum_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;pos_valid_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;vel_valid_insect;svelX_insect;svelY_insect;svelZ_insect;acc_valid_insect;saccX_insect;saccY_insect;saccZ_insect;radius_insect;fp;hunt_id;light_level;
4723;52.546685;292;476;60.5154;4.47214;0;791;-1;-1;0;1;1;1;0.205835;-0.666444;-0.37028;0.205835;-0.666444;-0.37028;0;0;0;0;0;0;0;0;0.00350811;fp_not_a_fp;-1;0.207839;
4724;52.557813;286;476;61.444;8.94427;0.0577178;1703;292;476;1;0;1;1;0.205835;-0.666444;-0.37028;0.205835;-0.666444;-0.37028;1;1.708e-07;0;-3.41601e-07;0;0;0;0;-1;fp_not_a_fp;-1;0.207867;
4725;52.568941;280;468;60.9098;10;0.186036;2391;292;476;0;1;1;1;0.223364;-0.651783;-0.374407;0.211678;-0.661557;-0.371655;1;0.200903;0.168038;-0.0473016;0;18.0527;15.0995;-4.2504;0.00779356;fp_not_a_fp;-1;0.207884;
4726;52.580069;278;462;60.5246;11.3137;0.0451573;2608;278.461;466.974;0;2;1;1;0.228042;-0.648005;-0.381789;0.215769;-0.658169;-0.374189;1;0.311928;0.259347;-0.145434;0;14.0149;11.6525;-6.53447;0.00887354;fp_not_a_fp;-1;0.207838;
4727;52.591197;272;456;60.3835;11.3137;0.057623;2037;275.779;459.924;0;3;1;1;0.238127;-0.641642;-0.387649;0.223842;-0.651969;-0.378531;1;0.433629;0.336946;-0.234608;0;12.9889;10.0928;-7.02755;0.00889428;fp_not_a_fp;-1;0.207861;
4728;52.602326;268;450;60.0982;8.48528;0.0603695;2556;269.021;452.998;0;4;1;1;0.245697;-0.636738;-0.394502;0.233807;-0.644542;-0.384587;1;0.515366;0.382236;-0.32008;0;11.5778;8.587;-7.1907;0.00670237;fp_not_a_fp;-1;0.207855;
4729;52.613454;262;442;60.1161;11.3137;0.0642896;1809;264.598;446.257;0;5;1;1;0.255259;-0.625965;-0.401059;0.241781;-0.638088;-0.39125;1;0.593016;0.47569;-0.38974;1;8.80913;6.91171;-7.69312;0.00893385;fp_not_a_fp;-1;0.207899;
4730;52.624582;258;436;59.8313;10;0.0271218;2386;257.798;436.969;0;6;1;1;0.262942;-0.620961;-0.408004;0.250506;-0.631326;-0.397804;1;0.637528;0.510997;-0.448419;1;7.31487;5.65354;-6.80676;0.00793408;fp_not_a_fp;-1;0.207834;
4731;52.635710;252;430;60.0809;10;0.0355633;1411;253.661;430.538;0;7;1;1;0.27145;-0.610463;-0.411302;0.258837;-0.623532;-0.403717;1;0.672126;0.580722;-0.453272;1;5.35789;5.47652;-4.91236;0.00790108;fp_not_a_fp;-1;0.207871;
4732;52.646838;246;424;60.0258;11.3137;0.0240687;2327;247.371;424.262;0;8;1;1;0.281309;-0.6031;-0.416678;0.26774;-0.615122;-0.409261;1;0.713702;0.619867;-0.45908;1;4.4558;5.33855;-3.12279;0.00894729;fp_not_a_fp;-1;0.207871;
4733;52.657966;240;418;60.2914;8.48528;0.0378953;1287;241.057;418.128;0;9;1;1;0.289637;-0.592554;-0.419818;0.276335;-0.606769;-0.41395;1;0.735313;0.677869;-0.438918;1;3.19682;4.5421;-1.10479;0.00668089;fp_not_a_fp;-1;0.207836;
4734;52.669094;234;414;60.3103;8.94427;0.0460473;2337;234.766;412.058;0;10;1;1;0.299071;-0.587143;-0.42298;0.285367;-0.598315;-0.417694;1;0.75858;0.677396;-0.410851;1;2.71952;3.73828;0.844034;0.00704007;fp_not_a_fp;-1;0.207825;
