rs_id;elapsed;imLx_insect;imLy_insect;disparity_insect;size_insect;score_insect;motion_sum_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;pos_valid_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;vel_valid_insect;svelX_insect;svelY_insect;svelZ_insect;acc_valid_insect;saccX_insect;saccY_insect;saccZ_insect;radius_insect;fp;hunt_id;light_level;
29114;324.021381;78;0;17.5457;4;0;23;-1;-1;0;1;1;1;1.90027;-0.127139;-2.64353;1.90027;-0.127139;-2.64353;0;0;0;0;0;0;0;0;0.0108221;fp_not_a_fp;-1;0.207092;
29115;324.032511;80;0;16.8425;0;0.1125;2;78;-2.1185e-05;0;2;1;1;1.96834;-0.132328;-2.75398;1.93431;-0.129733;-2.69875;1;0.780055;-0.0594639;-1.26574;0;0;0;0;0;fp_not_a_fp;-1;0.207287;
29116;324.043640;82;0;17.5163;2;0.0791667;13;80.2433;-2.30983e-05;0;3;1;1;1.88179;-0.127123;-2.64812;1.9168;-0.128863;-2.68187;1;0.0109478;-0.0168001;-0.414111;0;-69.1075;3.83352;76.5226;0.00542016;fp_not_a_fp;-1;0.207165;
29117;324.054769;82;0;17.5204;2.82843;0.0214466;21;82.5772;2.69597e-05;0;4;1;1;1.88135;-0.127093;-2.6475;1.90794;-0.128421;-2.67328;1;-0.313294;0.00331178;-0.00230707;0;-49.1219;2.82039;56.7637;0.00766349;fp_not_a_fp;-1;0.207116;
29118;324.065898;82;0;17.5204;2.82843;0.0214466;21;82.6428;3.04889e-05;1;0;1;1;1.87787;-0.127056;-2.64753;1.90234;-0.1284;-2.67428;1;-0.447228;0.0116231;0.167876;0;-36.7595;2.12919;42.9397;-1;fp_not_a_fp;-1;0.207144;
29119;324.077028;82;0;17.5204;2.82843;0.0214466;21;83.313;8.45851e-06;2;0;1;1;1.8729;-0.126927;-2.64566;1.87848;-0.12705;-2.6472;1;-0.502482;0.0150562;0.238169;0;-28.8107;1.67401;33.7837;-1;fp_not_a_fp;-1;0.207227;
29120;324.088156;86;2;17.3487;2.82843;0.149073;22;83.9957;1.03709e-05;0;1;1;1;1.87794;-0.137387;-2.66802;1.87752;-0.129616;-2.65218;1;-0.403448;-0.105327;-0.0194612;1;-9.30913;-1.98867;8.8656;0.00773932;fp_not_a_fp;-1;0.207145;
29121;324.099285;86;2;17.3487;2.82843;0.149073;22;86.9804;2.28608;1;0;1;1;1.87289;-0.13868;-2.66769;1.8754;-0.132513;-2.65723;1;-0.369023;-0.156465;-0.119656;1;-1.25174;-3.58924;-2.63634;-1;fp_not_a_fp;-1;0.20735;
29122;324.110415;86;2;17.3487;2.82843;0.149073;22;88.0758;2.69273;2;0;1;1;1.86871;-0.14064;-2.66919;1.87311;-0.135909;-2.66264;1;-0.355604;-0.180104;-0.162903;1;2.05832;-4.30693;-7.4307;-1;fp_not_a_fp;-1;0.207092;
29123;324.121544;90;4;17.5123;2;0.126389;17;89.2232;3.15452;0;1;1;1;1.83858;-0.145056;-2.63748;1.86453;-0.140441;-2.6606;1;-0.64999;-0.217505;0.203381;1;-3.31364;-5.22423;-0.78143;0.00542141;fp_not_a_fp;-1;0.207227;
29124;324.132673;90;4;17.5123;2;0.126389;17;91.3014;4.61878;1;0;1;1;1.83115;-0.147795;-2.63527;1.85283;-0.143043;-2.65241;1;-0.773864;-0.236615;0.354159;1;-8.32107;-2.9492;8.39308;-1;fp_not_a_fp;-1;0.207319;
29125;324.143803;94;4;17.4566;2.82843;0.112863;18;92.6428;5.28037;0;1;1;1;1.82269;-0.145288;-2.64604;1.84028;-0.144695;-2.64699;1;-0.823326;-0.185597;0.24788;1;-10.2054;-0.65449;8.25661;0.00769145;fp_not_a_fp;-1;0.207168;
29126;324.154932;96;4;17.112;2;0.0674907;9;95.5549;4.49875;0;2;1;1;1.8483;-0.148095;-2.6994;1.83518;-0.146558;-2.65455;1;-0.445252;-0.173021;-0.439195;1;-2.01375;0.158999;-6.20643;0.0055482;fp_not_a_fp;-1;0.207233;
29127;324.166060;98;4;17.0144;2;0.0605907;11;97.6771;4.35434;0;3;1;1;1.84775;-0.148827;-2.71496;1.83747;-0.147501;-2.67392;1;-0.238558;-0.154139;-0.845505;1;9.24262;1.42337;-23.5622;0.00558009;fp_not_a_fp;-1;0.207301;
29128;324.177190;96;4;17.4559;2.82843;0.0589466;30;99.7621;4.23194;0;4;1;1;1.81189;-0.145178;-2.64623;1.83266;-0.146847;-2.67666;1;-0.533579;-0.0848635;-0.117882;1;5.39853;3.40872;-10.6053;0.00769175;fp_not_a_fp;-1;0.207111;
