rs_id;elapsed;imLx_insect;imLy_insect;disparity_insect;size_insect;score_insect;motion_sum_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;pos_valid_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;vel_valid_insect;svelX_insect;svelY_insect;svelZ_insect;acc_valid_insect;saccX_insect;saccY_insect;saccZ_insect;radius_insect;fp;hunt_id;light_level;
175139;1948.914463;750;18;16.4869;2;0;20;-1;-1;0;1;1;1;-1.84867;-0.18384;-2.78368;-1.84867;-0.18384;-2.78368;0;0;0;0;0;0;0;0;0.00575854;fp_not_a_fp;-1;0.206964;
175140;1948.925590;748;18;16.3567;2;0.075;15;750;18;0;2;1;1;-1.85179;-0.185425;-2.80577;-1.85023;-0.184632;-2.79472;1;-0.0357337;-0.0181743;-0.253293;0;0;0;0;0.00580444;fp_not_a_fp;-1;0.207012;
175141;1948.936719;744;18;16.6561;2;0.125;14;747.747;18;0;3;1;1;-1.7957;-0.18233;-2.75518;-1.83205;-0.183865;-2.78154;1;0.596945;0.0121101;0.254209;0;56.8525;2.72136;45.6041;0.00570007;fp_not_a_fp;-1;0.206981;
175142;1948.947846;740;18;16.4948;2.82843;0.0964466;30;743.155;18;0;4;1;1;-1.79024;-0.184354;-2.78198;-1.8216;-0.183987;-2.78165;1;0.844814;-0.000122009;0.124319;0;39.5642;0.811032;16.9655;0.00813993;fp_not_a_fp;-1;0.207033;
175143;1948.958973;738;18;16.385;2.82843;0.0247156;21;738.516;18;0;5;1;1;-1.79065;-0.18571;-2.80054;-1.8071;-0.184455;-2.78587;1;0.834819;-0.0207092;-0.158019;0;26.0767;-0.0760192;2.85264;0.00819454;fp_not_a_fp;-1;0.207036;
175144;1948.970102;734;18;16.4534;2.82843;0.0932401;15;736.199;18;0;6;1;1;-1.76012;-0.185179;-2.78874;-1.78418;-0.184393;-2.78161;1;1.0741;-0.0204846;-0.119295;0;24.9328;-0.05197;3.00939;0.00816044;fp_not_a_fp;-1;0.206999;
175145;1948.981230;730;18;16.2728;2.82843;0.076117;36;731.779;18;0;7;1;1;-1.75633;-0.187479;-2.81955;-1.77434;-0.18568;-2.7977;1;1.0795;-0.0441394;-0.44118;1;10.8411;-1.26376;-15.6234;0.0082511;fp_not_a_fp;-1;0.206966;
175146;1948.992357;728;20;16.3444;2;0.112774;29;727.197;18;0;8;1;1;-1.73715;-0.196612;-2.80093;-1.76106;-0.188745;-2.80244;1;1.16384;-0.152983;-0.304449;1;7.16705;-3.43433;-9.63319;0.00580874;fp_not_a_fp;-1;0.207018;
175147;1949.003485;724;20;16.4815;2;0.0751205;8;725.169;20.2825;0;9;1;1;-1.69966;-0.195218;-2.77748;-1.73832;-0.191122;-2.79668;1;1.47991;-0.16247;0.0596038;1;14.492;-3.1849;4.88851;0.00576039;fp_not_a_fp;-1;0.207009;
175148;1949.014613;720;20;16.4939;4.47214;0.0673121;38;720.956;20.3688;0;10;1;1;-1.67537;-0.195312;-2.77525;-1.71713;-0.193655;-2.7933;1;1.70028;-0.146746;0.228062;1;14.0678;-2.83669;7.80333;0.0128711;fp_not_a_fp;-1;0.207013;
175149;1949.025740;718;20;16.4788;2.82843;0.0543958;23;716.749;20.3567;0;11;1;1;-1.66538;-0.195611;-2.77771;-1.69439;-0.195688;-2.78284;1;1.68896;-0.124962;0.24031;1;13.692;-1.81581;15.3103;0.00814786;fp_not_a_fp;-1;0.20707;
175150;1949.036869;714;22;16.4422;2;0.112763;14;714.855;20.3061;0;12;1;1;-1.64613;-0.206064;-2.77759;-1.67163;-0.198051;-2.77701;1;1.68951;-0.21982;0.216165;1;11.8095;-1.50141;11.6959;0.00577422;fp_not_a_fp;-1;0.206991;
175151;1949.047996;712;22;16.334;4;0.105786;39;710.765;22.5012;0;13;1;1;-1.64541;-0.20755;-2.79591;-1.65807;-0.201134;-2.78161;1;1.48249;-0.248022;-0.0314128;1;0.0580907;-1.92191;-2.04481;0.0116249;fp_not_a_fp;-1;0.206994;
175152;1949.059124;708;22;16.4446;2.82843;0.0437379;15;708.94;22.5131;0;14;1;1;-1.61126;-0.206396;-2.77697;-1.64204;-0.203905;-2.78204;1;1.59931;-0.214816;0.0874222;1;-2.26837;-1.52912;-3.15964;0.00816479;fp_not_a_fp;-1;0.207127;
175153;1949.070252;704;22;16.3559;2.82843;0.0413433;27;704.866;22.4574;0;15;1;1;-1.59678;-0.207758;-2.79187;-1.62489;-0.206942;-2.78558;1;1.60959;-0.189301;-0.045425;1;-1.78316;-1.44536;-6.41922;0.00820908;fp_not_a_fp;-1;0.20706;
