rs_id;elapsed;imLx_insect;imLy_insect;disparity_insect;size_insect;score_insect;motion_sum_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;pos_valid_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;vel_valid_insect;svelX_insect;svelY_insect;svelZ_insect;acc_valid_insect;saccX_insect;saccY_insect;saccZ_insect;radius_insect;fp;hunt_id;light_level;
261548;2910.391584;742;124;13.6981;2.82843;0;19;-1;-1;0;1;1;1;-2.17867;-0.843773;-2.95904;-2.17867;-0.843773;-2.95904;0;0;0;0;0;0;0;0;0.00980178;fp_not_a_fp;-1;0.207101;
261549;2910.402711;742;124;13.5139;2;0.025;11;742;124;0;2;1;1;-2.20837;-0.855274;-2.99938;-2.19352;-0.849523;-2.97921;1;-0.340436;-0.131847;-0.462376;0;0;0;0;0.00702542;fp_not_a_fp;-1;0.206985;
261550;2910.413838;742;122;13.6338;2;0.075;5;742;124;0;3;1;1;-2.18878;-0.835963;-2.98042;-2.19194;-0.845003;-2.97961;1;-0.213152;0.0518255;-0.377144;0;11.4385;16.5059;7.65944;0.00696366;fp_not_a_fp;-1;0.207012;
261551;2910.424965;742;122;13.4622;2;0.025;12;742;121.748;0;4;1;1;-2.21668;-0.846621;-3.01841;-2.19812;-0.845408;-2.98931;1;-0.453254;-0.00105848;-0.729404;0;-5.07038;5.87645;-12;0.00705248;fp_not_a_fp;-1;0.207037;
261552;2910.436092;740;120;13.4921;2.82843;0.134235;5;742;121.679;0;5;1;1;-2.19752;-0.832978;-3.01912;-2.20284;-0.842709;-3.00433;1;-0.275043;0.133616;-0.790067;0;1.95855;7.95217;-9.81738;0.00995163;fp_not_a_fp;-1;0.207021;
261553;2910.447219;740;120;13.7172;2;0.025;5;739.75;119.439;0;6;1;1;-2.16145;-0.819305;-2.96956;-2.19111;-0.833717;-2.99688;1;0.247168;0.328962;-0.146287;0;13.2014;10.353;7.10072;0.00692134;fp_not_a_fp;-1;0.207051;
261554;2910.458346;740;118;13.5509;2.82843;0.0755376;16;739.671;119.399;0;7;1;1;-2.18781;-0.8175;-3.01347;-2.19086;-0.829101;-3.00514;1;0.129287;0.388421;-0.364928;1;7.69317;7.56245;0.273356;0.00990836;fp_not_a_fp;-1;0.207072;
261555;2910.469472;738;118;13.7541;2;0.115175;7;739.646;117.149;0;8;1;1;-2.14169;-0.80557;-2.96887;-2.17212;-0.818839;-2.99276;1;0.592783;0.500219;0.102551;1;23.5024;11.2627;18.6922;0.00690286;fp_not_a_fp;-1;0.206981;
261556;2910.480600;738;118;13.753;2;0.025;17;737.4;117.168;0;9;1;1;-2.14185;-0.805629;-2.96909;-2.1582;-0.812001;-2.98025;1;0.706908;0.481938;0.280158;1;22.0623;7.82609;24.0454;0.00690334;fp_not_a_fp;-1;0.206992;
261557;2910.491726;738;116;13.638;2;0.0972963;6;737.41;117.32;0;10;1;1;-2.15974;-0.800639;-3.00155;-2.15777;-0.807335;-2.98824;1;0.458756;0.470118;-0.0542376;1;4.75415;3.17167;2.06815;0.00696152;fp_not_a_fp;-1;0.206984;
261558;2910.502853;736;116;13.5303;0;0.147571;6;737.495;115.187;0;11;1;1;-2.16291;-0.807161;-3.02535;-2.15155;-0.80475;-2.99122;1;0.261418;0.330509;-0.458433;1;2.96888;-1.30106;-2.10094;0;fp_not_a_fp;-1;0.206991;
261559;2910.513981;736;114;13.5082;2.82843;0.122557;22;735.311;115.273;0;12;1;1;-2.16626;-0.796578;-3.03777;-2.15769;-0.802502;-3.00844;1;0.108066;0.351963;-0.709319;1;-10.8909;-3.33107;-18.2415;0.00993959;fp_not_a_fp;-1;0.206996;
261560;2910.525107;736;114;13.5284;2;0.00299666;8;735.355;113.118;0;13;1;1;-2.16303;-0.79539;-3.03324;-2.16299;-0.799942;-3.02448;1;0.067938;0.329551;-0.6706;1;-14.3565;-3.42392;-21.3618;0.00701791;fp_not_a_fp;-1;0.207002;
261561;2910.536234;734;114;13.5302;2;0.0868682;20;735.454;113.164;0;14;1;1;-2.14872;-0.795433;-3.03275;-2.16023;-0.798641;-3.03228;1;0.206783;0.277761;-0.563483;1;-5.66108;-4.32202;-11.4414;0.00701684;fp_not_a_fp;-1;0.207008;
