rs_id;elapsed;imLx_insect;imLy_insect;disparity_insect;size_insect;score_insect;motion_sum_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;pos_valid_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;vel_valid_insect;svelX_insect;svelY_insect;svelZ_insect;acc_valid_insect;saccX_insect;saccY_insect;saccZ_insect;radius_insect;fp;hunt_id;light_level;
268221;2984.646388;686;432;29.5025;2.82843;0;24;-1;-1;0;1;1;1;-0.843554;-1.23216;-0.846041;-0.843554;-1.23216;-0.846041;0;0;0;0;0;0;0;0;0.00455104;fp_not_a_fp;-1;0.207087;
268222;2984.657514;686;430;29.9202;2.82843;0.0699057;18;686;432;0;2;1;1;-0.8317;-1.20958;-0.837605;-0.837627;-1.22087;-0.841823;1;0.135884;0.258793;0.0967128;0;0;0;0;0.00448752;fp_not_a_fp;-1;0.207092;
268223;2984.668641;688;428;29.9302;4.47214;0.0535926;55;686;429.741;0;3;1;1;-0.837689;-1.20374;-0.840739;-0.837648;-1.21516;-0.841461;1;0.106063;0.399709;0.0884172;0;-2.68001;12.6643;-0.745543;0.00709295;fp_not_a_fp;-1;0.206937;
268224;2984.679769;690;426;29.8242;4;0.0603553;34;688.26;427.407;0;4;1;1;-0.846952;-1.20256;-0.847151;-0.839974;-1.21201;-0.842884;1;-0.0259649;0.420525;0.000215531;0;-7.27241;7.2675;-4.33592;0.0063667;fp_not_a_fp;-1;0.207051;
268225;2984.690896;690;422;29.4824;2.82843;0.116397;33;690.59;425.09;0;5;1;1;-0.856613;-1.20559;-0.86382;-0.843239;-1.20537;-0.847329;1;-0.187972;0.34071;-0.227351;0;-9.70156;2.45397;-9.70788;0.00455414;fp_not_a_fp;-1;0.207108;
268226;2984.702023;692;420;29.5595;4.47214;0.0524082;38;690.641;420.579;0;6;1;1;-0.860723;-1.19694;-0.865023;-0.850494;-1.20221;-0.854183;1;-0.278056;0.363453;-0.306189;0;-9.30016;2.35144;-9.05222;0.00718189;fp_not_a_fp;-1;0.207016;
268227;2984.713151;692;418;29.5741;4.47214;0.038266;20;692.839;418.29;0;7;1;1;-0.860221;-1.19091;-0.868011;-0.856127;-1.199;-0.861001;1;-0.274067;0.395564;-0.333966;1;-8.54052;-0.0931957;-9.48989;0.00717834;fp_not_a_fp;-1;0.207096;
268228;2984.724277;692;414;29.5623;2.82843;0.0938187;78;692.881;415.98;0;8;1;1;-0.860406;-1.18051;-0.875186;-0.859491;-1.19349;-0.86801;1;-0.239574;0.47767;-0.385088;1;-4.79934;1.28392;-8.65694;0.0045418;fp_not_a_fp;-1;0.206978;
268229;2984.735404;694;412;29.8091;2.82843;0.0758129;37;692.712;411.646;0;9;1;1;-0.859574;-1.16527;-0.871369;-0.860231;-1.18341;-0.869897;1;-0.185233;0.625299;-0.313341;1;0.0615833;6.39417;-1.93196;0.00450424;fp_not_a_fp;-1;0.20705;
268230;2984.746532;696;410;29.7146;5.65685;0.0322847;86;694.845;409.558;0;10;1;1;-0.868619;-1.1635;-0.877578;-0.862205;-1.17505;-0.873036;1;-0.242819;0.626876;-0.314895;1;0.791863;5.91862;-0.195563;0.00903707;fp_not_a_fp;-1;0.206998;
268231;2984.757659;696;408;29.6164;2.82843;0.0697381;67;697.044;407.594;0;11;1;1;-0.87142;-1.16193;-0.883896;-0.865004;-1.1678;-0.877007;1;-0.267752;0.565597;-0.347793;1;0.142026;3.82038;-0.310642;0.00453354;fp_not_a_fp;-1;0.207044;
