rs_id;elapsed;imLx_insect;imLy_insect;disparity_insect;size_insect;score_insect;motion_sum_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;pos_valid_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;vel_valid_insect;svelX_insect;svelY_insect;svelZ_insect;acc_valid_insect;saccX_insect;saccY_insect;saccZ_insect;radius_insect;fp;hunt_id;light_level;
127960;1423.943450;42;100;30.5951;6.32456;0;72;-1;-1;0;1;1;1;1.19726;-0.333849;-1.35131;1.19726;-0.333849;-1.35131;0;0;0;0;0;0;0;0;0.00981303;fp_not_a_fp;-1;0.207031;
127961;1423.954577;42;100;30.5951;6.32456;0;72;42;100;1;0;1;1;1.19726;-0.333849;-1.35131;1.19726;-0.333849;-1.35131;1;0;3.41623e-07;1.36649e-06;0;0;0;0;-1;fp_not_a_fp;-1;0.207024;
127962;1423.965705;42;100;30.5951;6.32456;0;72;42;100;2;0;1;1;1.19726;-0.33385;-1.35131;1.19726;-0.33385;-1.35131;1;0;-2.43943e-07;3.12326e-06;0;0;-5.26189e-05;0.000157863;-1;fp_not_a_fp;-1;0.207114;
127963;1423.976833;52;98;30.5095;2.82843;0.308342;48;41.9999;100;0;1;1;1;1.16958;-0.3292;-1.3586;1.19034;-0.332687;-1.35313;1;-0.317332;0.0532967;-0.0835202;0;-14.2589;2.39481;-3.75294;0.00440086;fp_not_a_fp;-1;0.207058;
127964;1423.987960;56;98;29.9452;4.47214;0.0682373;18;53.2696;97.7461;0;2;1;1;1.17894;-0.335277;-1.38428;1.18576;-0.333044;-1.36137;1;-0.300734;-0.00113167;-0.401742;0;-9.00875;-0.0339103;-12.0346;0.00708945;fp_not_a_fp;-1;0.207088;
127965;1423.999089;58;96;29.9884;4.47214;0.0535926;29;58.095;97.6803;0;3;1;1;1.17098;-0.329363;-1.38568;1.17919;-0.331922;-1.36997;1;-0.346699;0.0443017;-0.498096;0;-7.78919;0.99525;-11.1906;0.0070792;fp_not_a_fp;-1;0.207089;
127966;1424.010216;60;96;30.3155;4.47214;0.0336335;72;60.4301;95.4441;0;4;1;1;1.15208;-0.325747;-1.37077;1.1679;-0.329897;-1.37483;1;-0.538075;0.0988739;-0.30347;1;-12.0888;2.22133;-6.81796;0.00700284;fp_not_a_fp;-1;0.207051;
127967;1424.021343;64;96;30.9157;2;0.0915086;9;62.8554;95.3342;0;5;1;1;1.11743;-0.3193;-1.34423;1.15486;-0.327422;-1.37124;1;-0.945734;0.182717;0.119868;1;-14.1182;2.9076;4.56964;0.00307092;fp_not_a_fp;-1;0.20717;
127968;1424.032472;64;96;28.5177;5.65685;0.013265;18;67.0123;95.4235;0;6;1;1;1.2114;-0.34615;-1.45727;1.16297;-0.33014;-1.38949;1;0.0834317;-0.113688;-1.01607;1;8.6291;-2.52829;-13.7997;0.0094164;fp_not_a_fp;-1;0.207152;
127969;1424.043599;68;96;29.211;2;0.100723;26;66.3806;95.5796;0;7;1;1;1.16965;-0.337804;-1.42276;1.16264;-0.332251;-1.39876;1;0.0194949;-0.126015;-0.960352;1;8.22524;-3.82592;-10.3833;0.00325017;fp_not_a_fp;-1;0.207106;
127970;1424.054727;72;96;28.7876;0;0.125628;7;70.4787;95.7001;0;8;1;1;1.17366;-0.342641;-1.44377;1.16803;-0.336474;-1.41701;1;0.0365627;-0.170475;-1.05563;1;12.9083;-6.05088;-16.8964;0;fp_not_a_fp;-1;0.207128;
