rs_id;elapsed;imLx_insect;imLy_insect;disparity_insect;size_insect;score_insect;motion_sum_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;pos_valid_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;vel_valid_insect;svelX_insect;svelY_insect;svelZ_insect;acc_valid_insect;saccX_insect;saccY_insect;saccZ_insect;radius_insect;fp;hunt_id;light_level;
261701;2912.077229;236;136;13.5462;2;0;15;-1;-1;0;1;1;1;1.34154;-0.954349;-2.9267;1.34154;-0.954349;-2.9267;0;0;0;0;0;0;0;0;0.00700862;fp_not_a_fp;-1;0.207039;
261702;2912.088355;236;136;13.5462;2;0;15;236;136;1;0;1;1;1.34154;-0.954349;-2.9267;1.34154;-0.954349;-2.9267;1;-1.36655e-06;-6.83275e-07;2.7331e-06;0;0;0;0;-1;fp_not_a_fp;-1;0.206992;
261703;2912.099482;236;136;13.5462;2;0;15;236;136;2;0;1;1;1.34154;-0.954349;-2.9267;1.34154;-0.954349;-2.9267;1;-3.12354e-06;-8.78496e-07;6.24708e-06;0;-0.000157907;-1.75452e-05;0.000315814;-1;fp_not_a_fp;-1;0.206968;
261704;2912.110610;236;138;14.1413;0;0.221773;10;236;136;0;1;1;1;1.28493;-0.92557;-2.79642;1.32739;-0.947155;-2.89413;1;-0.64891;0.329867;1.49333;0;-29.1567;14.8216;67.0982;0;fp_not_a_fp;-1;0.206998;
261705;2912.121737;236;138;14.1413;0;0.221773;10;236;138.267;1;0;1;1;1.27772;-0.921905;-2.77983;1.31144;-0.939044;-2.85741;1;-0.916963;0.46613;2.1102;0;-27.4679;13.9631;63.2118;-1;fp_not_a_fp;-1;0.207109;
261706;2912.132864;234;140;14.4097;2;0.159669;13;236;138.65;0;1;1;1;1.27402;-0.919634;-2.73726;1.29455;-0.930365;-2.81005;1;-0.953195;0.489025;2.58387;0;-21.415;10.9867;58.0513;0.00658868;fp_not_a_fp;-1;0.207078;
261707;2912.143992;234;140;14.4097;2;0.159669;13;233.723;140.626;1;0;1;1;1.26343;-0.9142;-2.70855;1.27503;-0.920328;-2.75552;1;-0.967984;0.498394;2.77912;1;-21.7472;11.1972;62.4378;-1;fp_not_a_fp;-1;0.20711;
261708;2912.155119;234;140;14.4097;2;0.159669;13;233.282;141.451;2;0;1;1;1.25133;-0.907971;-2.67382;1.26663;-0.915928;-2.72487;1;-0.989307;0.510099;2.90349;1;-7.648;4.04943;31.6831;-1;fp_not_a_fp;-1;0.206908;
261709;2912.166245;232;142;14.5363;4;0.0715422;26;232.774;142.315;0;1;1;1;1.27583;-0.922827;-2.70641;1.26615;-0.916158;-2.70651;1;-0.591085;0.279574;2.21093;1;7.322;-4.19165;2.26267;0.0130626;fp_not_a_fp;-1;0.206852;
261710;2912.177373;230;142;14.4618;2;0.075;4;231.346;142.829;0;2;1;1;1.29554;-0.927714;-2.72028;1.27153;-0.918178;-2.70227;1;-0.125266;0.0926323;1.48378;1;18.6014;-8.90596;-24.7162;0.00656495;fp_not_a_fp;-1;0.206927;
261711;2912.188500;230;144;14.4546;0;0.1125;5;229.113;142.677;0;3;1;1;1.29603;-0.939313;-2.71467;1.27968;-0.924456;-2.7038;1;0.0888679;-0.129406;1.0583;1;23.7448;-14.1052;-38.6624;0;fp_not_a_fp;-1;0.207133;
261712;2912.199627;228;144;14.3833;2;0.075;28;229.141;144.811;0;4;1;1;1.31565;-0.944099;-2.72804;1.29576;-0.933488;-2.71735;1;0.39097;-0.259526;0.594215;1;31.0114;-17.2917;-51.8838;0.00660078;fp_not_a_fp;-1;0.207109;
261713;2912.210755;228;144;14.3833;2;0.075;28;226.987;144.742;1;0;1;1;1.32191;-0.94805;-2.72464;1.30728;-0.939794;-2.72191;1;0.537684;-0.325486;0.365602;1;25.3602;-13.594;-41.4592;-1;fp_not_a_fp;-1;0.207055;
261714;2912.221882;228;146;15.3349;0;0.222951;5;225.914;145.46;0;1;1;1;1.23386;-0.896008;-2.55218;1.29186;-0.931868;-2.67988;1;-0.479597;0.285347;2.20145;1;-7.96129;4.32998;16.1249;0;fp_not_a_fp;-1;0.207067;
261715;2912.233009;226;146;15.026;2.82843;0.0536797;19;227.155;146.857;0;2;1;1;1.27187;-0.914559;-2.60458;1.28582;-0.925679;-2.65236;1;-0.403115;0.28872;2.07862;1;-11.054;9.39451;22.9246;0.00893565;fp_not_a_fp;-1;0.207052;
261716;2912.244137;226;146;15.026;2.82843;0.0536797;19;225.097;146.733;1;0;1;1;1.26671;-0.910772;-2.58007;1.27359;-0.917347;-2.61537;1;-0.379251;0.296705;2.04367;1;-17.3054;12.4974;32.5666;-1;fp_not_a_fp;-1;0.207031;
261717;2912.255263;224;148;15.2617;2.82843;0.032204;22;224.174;147.447;0;1;1;1;1.26452;-0.911102;-2.55767;1.25924;-0.90811;-2.57363;1;-0.346143;0.25837;2.02535;1;-19.8577;13.118;37.291;0.00879766;fp_not_a_fp;-1;0.206977;
261718;2912.266390;224;150;15.3763;0;0.1125;4;223.036;148.795;0;2;1;1;1.25494;-0.914779;-2.53206;1.26451;-0.912803;-2.5686;1;-0.398032;0.167427;2.05307;1;1.8326;-2.64943;-3.33378;0;fp_not_a_fp;-1;0.206906;
261719;2912.277518;224;150;15.3763;0;0.1125;4;223.13;151.006;1;0;1;1;1.25063;-0.913082;-2.50945;1.2592;-0.912434;-2.54481;1;-0.418103;0.127937;2.06178;1;-0.336749;-3.61241;-0.37826;-1;fp_short_detection;-1;0.207062;
