rs_id;elapsed;imLx_insect;imLy_insect;disparity_insect;size_insect;score_insect;motion_sum_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;pos_valid_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;vel_valid_insect;svelX_insect;svelY_insect;svelZ_insect;acc_valid_insect;saccX_insect;saccY_insect;saccZ_insect;radius_insect;fp;hunt_id;light_level;
297942;3315.315726;144;0;58.4179;6;0;311;-1;-1;0;1;1;1;0.463345;-0.0367835;-0.794792;0.463345;-0.0367835;-0.794792;0;0;0;0;0;0;0;0;0.00487562;fp_not_a_fp;-1;0.207029;
297943;3315.326853;152;2;57.3233;10.7703;0.0582892;879;144;4.28742e-06;0;2;1;1;0.458904;-0.0401547;-0.808293;0.461124;-0.0384691;-0.801543;1;-0.0509176;-0.0386455;-0.154763;0;0;0;0;0.00891911;fp_not_a_fp;-1;0.20711;
297944;3315.337981;158;2;56.5327;10;0.0488636;1975;152.997;2.24934;0;3;1;1;0.455246;-0.0406126;-0.819663;0.459165;-0.0391836;-0.807583;1;-0.10739;-0.0549354;-0.329298;0;-5.07468;-1.46383;-15.6841;0.00839699;fp_not_a_fp;-1;0.20707;
297945;3315.349108;166;6;56.1795;10;0.0672653;1317;159.994;2.31544;0;4;1;1;0.444507;-0.0464537;-0.82131;0.455501;-0.0410011;-0.811015;1;-0.240129;-0.121617;-0.378305;0;-8.50208;-3.72833;-10.0442;0.00844981;fp_not_a_fp;-1;0.207132;
297946;3315.360235;176;10;54.9166;12.6491;0.0923582;744;169.113;6.78475;0;5;1;1;0.437358;-0.0532005;-0.836632;0.449004;-0.0451054;-0.821474;1;-0.346307;-0.210999;-0.525935;0;-8.84873;-5.16307;-11.1185;0.010934;fp_not_a_fp;-1;0.20707;
297947;3315.371364;180;10;53.9399;11.6619;0.0177665;1785;180.301;11.3372;0;6;1;1;0.438238;-0.0540914;-0.851827;0.443837;-0.0485895;-0.832358;1;-0.335932;-0.231236;-0.694027;0;-6.40346;-4.32691;-12.1151;0.0102632;fp_not_a_fp;-1;0.207126;
297948;3315.382491;188;14;53.6373;8.94427;0.063376;1226;184.676;11.3845;0;7;1;1;0.426464;-0.0602469;-0.852959;0.436642;-0.0534981;-0.840682;1;-0.423755;-0.280665;-0.687949;1;-7.10794;-5.0715;-8.05752;0.00791592;fp_not_a_fp;-1;0.207011;
297949;3315.393618;196;18;52.868;10.7703;0.041053;517;193.605;15.8719;0;8;1;1;0.418217;-0.0670592;-0.861646;0.430069;-0.0586495;-0.850766;1;-0.500531;-0.343383;-0.697263;1;-5.85053;-4.9824;-7.16567;0.00967073;fp_not_a_fp;-1;0.20715;
297950;3315.404747;202;18;51.9601;8.94427;0.0401557;1365;201.977;20.232;0;9;1;1;0.414562;-0.0681181;-0.876772;0.424371;-0.0623789;-0.860801;1;-0.51031;-0.33764;-0.785543;1;-3.68471;-2.84524;-5.8321;0.00817143;fp_not_a_fp;-1;0.207109;
297951;3315.415874;208;18;51.6009;10;0.0315894;1337;207.979;20.0328;0;10;1;1;0.40641;-0.0684787;-0.882947;0.416414;-0.0659757;-0.868581;1;-0.542711;-0.296333;-0.792621;1;-4.64577;-1.46259;-2.21494;0.00919954;fp_not_a_fp;-1;0.207097;
