rs_id;elapsed;imLx_insect;imLy_insect;disparity_insect;size_insect;score_insect;motion_sum_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;pos_valid_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;vel_valid_insect;svelX_insect;svelY_insect;svelZ_insect;acc_valid_insect;saccX_insect;saccY_insect;saccZ_insect;radius_insect;fp;hunt_id;light_level;
279972;3115.426096;520;128;12.4857;2;0;14;-1;-1;0;1;1;1;-0.703766;-0.963522;-3.22055;-0.703766;-0.963522;-3.22055;0;0;0;0;0;0;0;0;0.00760399;fp_not_a_fp;-1;0.207183;
279973;3115.437223;518;128;13.0839;0;0.1125;7;520;128;0;2;1;1;-0.657076;-0.919603;-3.07321;-0.680421;-0.941562;-3.14688;1;0.535193;0.503426;1.6889;0;0;0;0;0;fp_not_a_fp;-1;0.206991;
279974;3115.448351;518;128;12.5576;0;0.0625;3;517.731;128;0;3;1;1;-0.684614;-0.958144;-3.20201;-0.681819;-0.94709;-3.16525;1;0.372436;0.20547;0.69502;0;-14.6269;-26.7772;-89.3194;0;fp_not_a_fp;-1;0.207065;
279975;3115.459479;518;126;12.6897;2;0.075;5;517.67;128;0;4;1;1;-0.67732;-0.935485;-3.17661;-0.680694;-0.944188;-3.16809;1;0.341276;0.315837;0.48678;0;-8.71344;-8.42991;-54.0157;0.00748174;fp_not_a_fp;-1;0.207103;
279976;3115.470607;516;126;12.6049;2;0.115981;8;517.678;125.741;0;5;1;1;-0.666815;-0.941923;-3.1979;-0.671456;-0.938789;-3.16243;1;0.405279;0.247366;0.0945709;0;-3.89171;-7.67106;-47.7594;0.00753208;fp_not_a_fp;-1;0.207077;
279977;3115.481734;514;124;12.4942;2.82843;0.122924;13;515.47;125.671;0;6;1;1;-0.65736;-0.937532;-3.23421;-0.671527;-0.943271;-3.20268;1;0.48842;0.23784;-0.49586;0;-1.05087;-5.96732;-49.0847;0.0107464;fp_not_a_fp;-1;0.207013;
279978;3115.492863;514;126;12.4081;0;0.166564;3;513.206;123.435;0;7;1;1;-0.662087;-0.957002;-3.24852;-0.665895;-0.942986;-3.21431;1;0.406302;-0.0195924;-0.84054;1;0.761098;-5.05622;-34.4981;0;fp_not_a_fp;-1;0.207048;
279979;3115.503990;514;126;12.4081;0;0.166564;3;513.145;125.621;1;0;1;1;-0.657525;-0.957532;-3.25998;-0.660947;-0.948497;-3.23515;1;0.372828;-0.129553;-1.00724;1;0.709022;-10.0061;-33.5653;-1;fp_not_a_fp;-1;0.207077;
279980;3115.515118;512;124;12.4831;2;0.122524;15;512.283;125.373;0;1;1;1;-0.642731;-0.938505;-3.23698;-0.654926;-0.947643;-3.24492;1;0.481024;0.0596357;-0.684003;1;1.70191;-4.21722;-17.4915;0.00760554;fp_not_a_fp;-1;0.20695;
279981;3115.526246;510;124;12.6579;2;0.075;4;511.104;123.608;0;2;1;1;-0.618858;-0.92569;-3.19221;-0.6453;-0.944682;-3.23442;1;0.738003;0.277091;0.0500015;1;5.6069;0.881825;12.2627;0.00750057;fp_not_a_fp;-1;0.206973;
279982;3115.537374;510;124;12.9007;0;0.0625;3;508.935;123.621;0;3;1;1;-0.607207;-0.908263;-3.13211;-0.63158;-0.932497;-3.20532;1;0.883617;0.531375;1.03583;1;10.7232;12.378;42.1546;0;fp_not_a_fp;-1;0.206946;
279983;3115.548501;508;122;12.6641;2.82843;0.0743903;25;508.983;123.637;0;4;1;1;-0.603395;-0.912668;-3.19851;-0.618048;-0.921281;-3.18995;1;0.874787;0.518186;0.550031;1;11.2769;14.5522;34.9852;0.0106022;fp_not_a_fp;-1;0.207114;
279984;3115.559630;506;122;12.4117;2.82843;0.142211;4;506.879;121.412;0;5;1;1;-0.600368;-0.931371;-3.26346;-0.607457;-0.919498;-3.19657;1;0.794258;0.23227;-0.465356;1;7.03696;3.8786;4.9125;0.0108178;fp_not_a_fp;-1;0.207027;
279985;3115.570757;506;122;11.5095;0;0.0612159;10;504.733;121.436;0;6;1;1;-0.647429;-1.00438;-3.51928;-0.6146;-0.93917;-3.27834;1;0.120221;-0.752381;-3.75795;1;-13.8795;-23.1285;-85.5509;0;fp_not_a_fp;-1;0.207018;
279986;3115.581885;504;122;12.1707;2;0.0899579;9;504.954;121.553;0;7;1;1;-0.596653;-0.949958;-3.32798;-0.611961;-0.949594;-3.32731;1;0.408355;-0.439522;-2.44658;1;-10.6775;-21.8125;-78.2371;0.00780076;fp_not_a_fp;-1;0.206943;
